* Measurement data measured by REW V5.31.3
* Source: Microphone (Conexant ISST Audio), MICROPHONE (Master Volume), R, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Aug 8, 2025 2:05:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Woofer Only 2 Aug 8
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
3835.032705 70.605 -110.2266
3862.822933 70.559 -108.6936
3890.814540 70.547 -107.3357
3919.008986 70.593 -105.9829
3947.407741 70.709 -104.4042
3976.012284 70.896 -102.3663
4004.824108 71.145 -99.6956
4033.844715 71.448 -96.3175
4063.075616 71.801 -92.2791
4092.518337 72.209 -87.7532
4122.174412 72.686 -83.0226
4152.045387 73.251 -78.4353
4182.132820 73.918 -74.3332
4212.438278 74.691 -70.9705
4242.963342 75.556 -68.4600
4273.709604 76.486 -66.7676
4304.678665 77.443 -65.7529
4335.872141 78.393 -65.2374
4367.291658 79.305 -65.0665
4398.938854 80.158 -65.1440
4430.815378 80.940 -65.4327
4462.922893 81.650 -65.9377
4495.263072 82.292 -66.6776
4527.837601 82.875 -67.6558
4560.648179 83.409 -68.8392
4593.696515 83.902 -70.1546
4626.984334 84.353 -71.5035
4660.513370 84.761 -72.7923
4694.285371 85.121 -73.9616
4728.302098 85.429 -75.0034
4762.565324 85.685 -75.9590
4797.076835 85.896 -76.8998
4831.838432 86.073 -77.9013
4866.851925 86.235 -79.0176
4902.119140 86.398 -80.2690
4937.641916 86.574 -81.6453
4973.422105 86.766 -83.1249
5009.461572 86.970 -84.6964
5045.762195 87.176 -86.3694
5082.325868 87.375 -88.1688
5119.154496 87.564 -90.1194
5156.250000 87.742 -92.2282
5193.614313 87.918 -94.4695
5231.249383 88.099 -96.7861
5269.157173 88.296 -99.1067
5307.339658 88.515 -101.3780
5345.798829 88.757 -103.5940
5384.536691 89.022 -105.8053
5423.555263 89.308 -108.1032
5462.856580 89.609 -110.5833
5502.442691 89.917 -113.3088
5542.315659 90.222 -116.2868
5582.477563 90.510 -119.4723
5622.930497 90.768 -122.7939
5663.676569 90.983 -126.1885
5704.717904 91.145 -129.6225
5746.056642 91.253 -133.0942
5787.694937 91.310 -136.6170
5829.634960 91.320 -140.1994
5871.878898 91.288 -143.8316
5914.428953 91.212 -147.4882
